country;region;sub_region
Afghanistan;Asia;Southern Asia
Albania;Europe;Southern Europe
Algeria;Africa;Northern Africa
Angola;Africa;Middle Africa
Antigua and Barbuda;Americas;Caribbean
Argentina;Americas;South America
Armenia;Asia;Western Asia
Aruba;Americas;Caribbean
Australia;Oceania;Australia and New Zealand
Austria;Europe;Western Europe
Azerbaijan;Asia;Western Asia
Bahamas, The;Americas;Caribbean
Bahrain;Asia;Western Asia
Bangladesh;Asia;Southern Asia
Barbados;Americas;Caribbean
Belarus;Europe;Eastern Europe
Belgium;Europe;Western Europe
Belize;Americas;Central America
Benin;Africa;Western Africa
Bhutan;Asia;Southern Asia
Bolivia;Americas;South America
Bosnia and Herzegovina;Europe;Southern Europe
Botswana;Africa;Southern Africa
Brazil;Americas;South America
Brunei Darussalam;Asia;South-Eastern Asia
Bulgaria;Europe;Eastern Europe
Burkina Faso;Africa;Western Africa
Burundi;Africa;Eastern Africa
Cabo Verde;Africa;Western Africa
Cambodia;Asia;South-Eastern Asia
Cameroon;Africa;Middle Africa
Canada;Americas;Northern America
Central African Republic;Africa;Middle Africa
Chad;Africa;Middle Africa
Chile;Americas;South America
China;Asia;Eastern Asia
Colombia;Americas;South America
Comoros;Africa;Eastern Africa
Congo, Democratic Republic of the;Africa;Middle Africa
Congo, Republic of;Africa;Middle Africa
Costa Rica;Americas;Central America
Croatia;Europe;Southern Europe
Cyprus;Asia;Western Asia
Czech Republic;Europe;Eastern Europe
Côte d'Ivoire;Africa;Western Africa
Denmark;Europe;Northern Europe
Djibouti;Africa;Eastern Africa
Dominica;Americas;Caribbean
Dominican Republic;Americas;Caribbean
Ecuador;Americas;South America
Egypt;Africa;Northern Africa
El Salvador;Americas;Central America
Equatorial Guinea;Africa;Middle Africa
Eritrea;Africa;Eastern Africa
Estonia;Europe;Northern Europe
Eswatini;Africa;Eastern Africa
Ethiopia;Africa;Eastern Africa
Fiji;Oceania;Melanesia
Finland;Europe;Northern Europe
France;Europe;Western Europe
Gabon;Africa;Middle Africa
Gambia, The;Africa;West Africa
Georgia;Asia;Western Asia
Germany;Europe;Western Europe
Ghana;Africa;Western Africa
Greece;Europe;Southern Europe
Grenada;Americas;Caribbean
Guatemala;Americas;Central America
Guinea;Africa;Western Africa
Guinea-Bissau;Africa;Western Africa
Guyana;Americas;South America
Haiti;Americas;Caribbean
Honduras;Americas;Central America
Hong Kong SAR;Asia;Eastern Asia
Hungary;Europe;Eastern Europe
Iceland;Europe;Northern Europe
India;Asia;Southern Asia
Indonesia;Asia;South-Eastern Asia
Iran;Asia;Southern Asia
Iraq;Asia;Western Asia
Ireland;Europe;Northern Europe
Israel;Asia;Western Asia
Italy;Europe;Southern Europe
Jamaica;Americas;Caribbean
Japan;Asia;Eastern Asia
Jordan;Asia;Western Asia
Kazakhstan;Asia;Central Asia
Kenya;Africa;Eastern Africa
Kiribati;Oceania;Micronesia
Korea;Asia;Eastern Asia
Kuwait;Asia;Western Asia
Kyrgyz Republic;Asia;Central Asia
Lao P.D.R.;Asia;South Asia
Latvia;Europe;Northern Europe
Lebanon;Asia;Western Asia
Lesotho;Africa;Southern Africa
Liberia;Africa;Western Africa
Libya;Africa;Northern Africa
Lithuania;Europe;Northern Europe
Luxembourg;Europe;Western Europe
Macao SAR;Asia;Eastern Asia
Madagascar;Africa;Eastern Africa
Malawi;Africa;Eastern Africa
Malaysia;Asia;South-Eastern Asia
Maldives;Asia;Southern Asia
Mali;Africa;Western Africa
Malta;Europe;Southern Europe
Marshall Islands;Oceania;Micronesia
Mauritania;Africa;Western Africa
Mauritius;Africa;Eastern Africa
Mexico;Americas;Central America
Micronesia;Oceania;Micronesia
Moldova;Europe;Eastern Europe
Mongolia;Asia;Eastern Asia
Montenegro, Rep. of;Europe;Southern Europe
Morocco;Africa;Northern Africa
Mozambique;Africa;Eastern Africa
Myanmar;Asia;South-Eastern Asia
Namibia;Africa;Southern Africa
Nauru;Oceania;Micronesia
Nepal;Asia;Southern Asia
Netherlands;Europe;Western Europe
New Zealand;Oceania;Australia and New Zealand
Nicaragua;Americas;Central America
Niger;Africa;Western Africa
Nigeria;Africa;Western Africa
North Macedonia;Europe;Southern Europe
Norway;Europe;Northern Europe
Oman;Asia;Western Asia
Pakistan;Asia;Southern Asia
Palau;Oceania;Micronesia
Panama;Americas;Central America
Papua New Guinea;Oceania;Melanesia
Paraguay;Americas;South America
Peru;Americas;South America
Philippines;Asia;South-Eastern Asia
Poland;Europe;Eastern Europe
Portugal;Europe;Southern Europe
Puerto Rico;Americas;Caribbean
Qatar;Asia;Western Asia
Romania;Europe;Eastern Europe
Russia;Europe;Eastern Europe
Rwanda;Africa;Eastern Africa
Samoa;Oceania;Polynesia
San Marino;Europe;Southern Europe
Saudi Arabia;Asia;Western Asia
Senegal;Africa;Western Africa
Serbia;Europe;Southern Europe
Seychelles;Africa;Eastern Africa
Sierra Leone;Africa;Western Africa
Singapore;Asia;South-Eastern Asia
Slovak Republic;Europe;Central Europe
Slovenia;Europe;Southern Europe
Solomon Islands;Oceania;Melanesia
Somalia;Africa;Eastern Africa
South Africa;Africa;Southern Africa
South Sudan;Africa;Eastern Africa
Spain;Europe;Southern Europe
Sri Lanka;Asia;Southern Asia
St. Kitts and Nevis;Americas;Caribbean
St. Lucia;Americas;Caribbean
St. Vincent and the Grenadines;Americas;North America
Sudan;Africa;Northern Africa
Suriname;Americas;South America
Sweden;Europe;Northern Europe
Switzerland;Europe;Western Europe
Syria;Asia;West Asia
S�o Tom� and Pr�ncipe;Africa;central africa
Taiwan Province of China;Asia;Eastern Asia
Tajikistan;Asia;Central Asia
Tanzania;Africa;East Africa
Thailand;Asia;South-Eastern Asia
Timor-Leste;Asia;South-Eastern Asia
Togo;Africa;Western Africa
Tonga;Oceania;Polynesia
Trinidad and Tobago;Americas;Caribbean
Tunisia;Africa;Northern Africa
Turkey;Asia;Western Asia
Turkmenistan;Asia;Central Asia
Tuvalu;Oceania;Polynesia
Uganda;Africa;Eastern Africa
Ukraine;Europe;Eastern Europe
United Arab Emirates;Asia;Western Asia
United Kingdom;Europe;Northern Europe
United States;Americas;Northern America
Uruguay;Americas;South America
Uzbekistan;Asia;Central Asia
Vanuatu;Oceania;Melanesia
Venezuela;Americas;South America
Vietnam;Asia;Southeast Asia
West Bank and Gaza;Asia;West Asia
Yemen;Asia;Western Asia
Zambia;Africa;Eastern Africa
Zimbabwe;Africa;Eastern Africa
